Season,Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
2017-2018,Arsenal,30,38.0,73,589,223,37.9,15.5,5.87,0.12,0.31,17.9,30,4,5,68.3,64.3,0.11,4.7,4.7
2017-2018,Bournemouth,22,38.0,45,462,153,33.1,12.16,4.03,0.09,0.27,18.3,15,3,3,38.8,36.4,0.08,6.2,5.6
2017-2018,Brighton,24,38.0,33,377,110,29.2,9.92,2.89,0.07,0.25,18.3,4,5,7,37.0,31.8,0.09,-4.0,-3.8
2017-2018,Burnley,24,38.0,35,378,126,33.3,9.95,3.32,0.09,0.28,17.0,16,0,0,32.3,32.3,0.09,2.7,2.7
2017-2018,Chelsea,26,38.0,60,603,210,34.8,15.87,5.53,0.09,0.27,17.9,20,3,3,54.4,52.0,0.09,5.6,5.0
2017-2018,Crystal Palace,28,38.0,44,466,134,28.8,12.26,3.53,0.08,0.27,17.8,20,8,10,53.5,45.9,0.1,-9.5,-9.9
2017-2018,Everton,30,38.0,42,351,110,31.3,9.24,2.89,0.11,0.34,17.6,8,5,8,40.5,34.1,0.1,1.5,2.9
2017-2018,Huddersfield,25,38.0,25,360,106,29.4,9.47,2.79,0.06,0.22,18.8,14,2,2,31.3,29.8,0.08,-6.3,-6.8
2017-2018,Leicester City,27,38.0,53,417,137,32.9,10.97,3.61,0.12,0.35,17.6,11,5,6,50.0,45.3,0.11,3.0,2.7
2017-2018,Liverpool,27,38.0,82,635,226,35.6,16.71,5.95,0.13,0.35,17.7,22,2,3,72.9,70.6,0.11,9.1,9.4
2017-2018,Manchester City,25,38.0,103,656,254,38.7,17.26,6.68,0.15,0.38,17.8,30,6,8,78.6,72.7,0.11,24.4,24.3
2017-2018,Manchester Utd,27,38.0,67,509,170,33.4,13.39,4.47,0.13,0.39,18.4,21,1,3,55.7,53.3,0.11,11.3,12.7
2017-2018,Newcastle Utd,27,38.0,38,450,146,32.4,11.84,3.84,0.08,0.26,19.2,21,0,1,41.6,40.9,0.09,-3.6,-2.9
2017-2018,Southampton,26,38.0,36,447,136,30.4,11.76,3.58,0.07,0.24,18.1,11,3,3,39.9,37.6,0.09,-3.9,-4.6
2017-2018,Stoke City,30,38.0,34,380,122,32.1,10.0,3.21,0.09,0.28,18.1,11,0,3,36.5,34.1,0.09,-2.5,-0.1
2017-2018,Swansea City,26,38.0,27,338,95,28.1,8.89,2.5,0.08,0.27,18.2,15,1,1,31.6,30.8,0.1,-4.6,-4.8
2017-2018,Tottenham,25,38.0,70,620,209,33.7,16.32,5.5,0.11,0.33,18.4,28,2,3,64.7,62.3,0.1,5.3,5.7
2017-2018,Watford,29,38.0,42,434,126,29.0,11.42,3.32,0.09,0.31,17.9,10,3,6,45.0,40.2,0.09,-3.0,-1.2
2017-2018,West Brom,24,38.0,31,377,111,29.4,9.92,2.92,0.08,0.27,17.7,15,1,1,36.5,35.7,0.1,-5.5,-5.7
2017-2018,West Ham,27,38.0,48,368,127,34.5,9.68,3.34,0.13,0.36,18.2,17,2,4,36.7,33.6,0.09,11.3,12.4
2018-2019,Arsenal,28,38.0,69,462,159,34.4,12.16,4.18,0.14,0.41,16.7,11,4,5,60.1,56.0,0.12,8.9,9.0
2018-2019,Bournemouth,28,38.0,55,437,153,35.0,11.5,4.03,0.11,0.31,17.4,16,7,9,53.3,46.2,0.11,1.7,1.8
2018-2019,Brighton,21,38.0,35,364,99,27.2,9.58,2.61,0.08,0.3,17.9,12,5,6,35.3,30.7,0.09,-0.3,-0.7
2018-2019,Burnley,23,38.0,43,358,112,31.3,9.42,2.95,0.11,0.37,15.8,14,2,2,44.4,42.8,0.12,-1.4,-1.8
