Season,Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
2017-2018,Arsenal,30,38.0,20878,25193,82.9,353044,121329,61,53.3,55.2,7.7,444,1658,478,49,2223
2017-2018,Bournemouth,22,38.0,13450,17962,74.9,251392,100287,36,29.1,30.3,6.9,348,1220,291,67,1526
2017-2018,Brighton,24,38.0,11838,16372,72.3,227791,89034,25,26.2,22.5,-1.2,283,885,193,65,1230
2017-2018,Burnley,24,38.0,10524,15340,68.6,209049,89786,26,23.6,23.5,2.4,278,974,213,89,1103
2017-2018,Chelsea,26,38.0,18967,23101,82.1,329238,111578,42,41.5,43.3,0.5,482,1431,398,74,1998
2017-2018,Crystal Palace,28,38.0,11809,16114,73.3,208774,89985,26,33.3,28.6,-7.3,331,1037,273,58,1308
2017-2018,Everton,30,38.0,11953,16472,72.6,221336,88831,26,24.7,24.5,1.3,263,1044,211,70,1161
2017-2018,Huddersfield,25,38.0,12036,16822,71.5,222821,88700,19,23.7,19.8,-4.7,260,937,180,77,1210
2017-2018,Leicester City,27,38.0,12357,17124,72.2,226357,89044,38,34.9,31.1,3.1,297,1010,225,72,1271
2017-2018,Liverpool,27,38.0,20367,24900,81.8,367077,125520,58,52.7,47.7,5.3,488,1763,464,67,2236
2017-2018,Manchester City,25,38.0,26164,29961,87.3,421270,127277,85,57.9,60.7,27.1,498,2026,525,44,2570
2017-2018,Manchester Utd,27,38.0,17765,21865,81.2,292678,102023,53,40.5,42.2,12.5,377,1324,357,73,1564
2017-2018,Newcastle Utd,27,38.0,11071,15659,70.7,199740,86134,29,32.1,26.1,-3.1,321,911,220,75,1145
2017-2018,Southampton,26,38.0,14336,19027,75.3,248346,90480,23,29.5,31.3,-6.5,343,1154,288,77,1609
2017-2018,Stoke City,30,38.0,10122,14569,69.5,194245,88499,28,27.4,25.8,0.6,288,921,230,60,1150
2017-2018,Swansea City,26,38.0,13223,17437,75.8,247025,93673,20,20.2,19.7,-0.2,223,973,190,57,1194
2017-2018,Tottenham,25,38.0,19284,23695,81.4,363818,126442,51,49.0,43.6,2.0,462,1793,394,63,2249
2017-2018,Watford,29,38.0,12758,17513,72.8,225604,93079,27,29.2,29.4,-2.2,320,1071,285,79,1455
2017-2018,West Brom,24,38.0,10495,15004,69.9,201340,89346,24,25.9,26.9,-1.9,272,967,228,115,1106
2017-2018,West Ham,27,38.0,11779,16197,72.7,221883,87777,29,24.9,22.7,4.1,278,989,233,78,1179
2018-2019,Arsenal,28,38.0,18425,22549,81.7,313400,105044,52,46.7,43.9,5.3,363,1220,417,63,1874
2018-2019,Bournemouth,28,38.0,13505,17650,76.5,231203,91075,43,38.8,34.0,4.2,330,979,330,76,1435
2018-2019,Brighton,21,38.0,11491,15824,72.6,217603,86066,24,24.5,23.1,-0.5,281,887,223,81,1150
2018-2019,Burnley,23,38.0,10134,14793,68.5,194079,85014,32,31.2,27.6,0.8,254,879,239,82,1032
2018-2019,Cardiff City,25,38.0,7170,11715,61.2,138500,66941,20,27.6,25.4,-7.6,294,768,175,57,918
2018-2019,Chelsea,24,38.0,22960,26774,85.8,357355,116569,52,44.9,45.9,7.1,482,1640,415,65,2155
2018-2019,Crystal Palace,26,38.0,12697,16870,75.3,222304,89991,33,29.5,27.1,3.5,358,1003,275,63,1458
2018-2019,Everton,23,38.0,13878,18477,75.1,242908,92894,34,33.7,30.4,0.3,353,1102,298,94,1581
2018-2019,Fulham,28,38.0,15096,19303,78.2,265652,102124,24,30.0,26.3,-6.0,350,1106,233,69,1487
2018-2019,Huddersfield,31,38.0,13045,17777,73.4,237346,93900,13,19.9,17.4,-6.9,283,1023,208,93,1248
