Season,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP
2017-2018,Arsenal,30,26.8,61.4,38,418,3420,38.0,73,61,134,69,4,5,57,,68.3,64.3,53.3,117.6,915,2223
2017-2018,Bournemouth,22,26.9,48.1,38,418,3420,38.0,45,36,81,42,3,3,57,,38.8,36.4,29.1,65.5,702,1526
2017-2018,Brighton,24,27.5,43.7,38,418,3420,38.0,33,25,58,28,5,7,54,,37.0,31.8,26.2,58.0,523,1230
2017-2018,Burnley,24,27.5,43.7,38,418,3420,38.0,35,26,61,35,0,0,65,,32.3,32.3,23.6,55.9,431,1103
2017-2018,Chelsea,26,26.7,55.6,38,418,3420,38.0,60,42,102,57,3,3,46,,54.4,52.0,41.5,93.5,1045,1998
2017-2018,Crystal Palace,28,27.1,45.2,38,418,3420,38.0,44,26,70,36,8,10,72,,53.5,45.9,33.3,79.2,727,1308
2017-2018,Everton,30,26.7,45.5,38,418,3420,38.0,42,26,68,37,5,8,55,,40.5,34.1,24.7,58.8,477,1161
2017-2018,Huddersfield,25,26.4,45.7,38,418,3420,38.0,25,19,44,23,2,2,65,,31.3,29.8,23.7,53.5,627,1210
2017-2018,Leicester City,27,27.2,48.0,38,418,3420,38.0,53,38,91,48,5,6,60,,50.0,45.3,34.9,80.2,655,1271
2017-2018,Liverpool,27,25.6,60.3,38,418,3420,38.0,82,58,140,80,2,3,44,,72.9,70.6,52.7,123.3,982,2236
2017-2018,Manchester City,25,26.4,71.0,38,418,3420,38.0,103,85,188,97,6,8,63,,78.6,72.7,57.9,130.6,1308,2570
2017-2018,Manchester Utd,27,26.7,54.7,38,418,3420,38.0,67,53,120,66,1,3,64,,55.7,53.3,40.5,93.8,920,1564
2017-2018,Newcastle Utd,27,25.6,41.7,38,418,3420,38.0,38,29,67,38,0,1,54,,41.6,40.9,32.1,72.9,548,1145
2017-2018,Southampton,26,26.2,51.3,38,418,3420,38.0,36,23,59,33,3,3,65,,39.9,37.6,29.5,67.0,694,1609
2017-2018,Stoke City,30,27.5,41.4,38,418,3420,38.0,34,28,62,34,0,3,62,,36.5,34.1,27.4,61.4,477,1150
2017-2018,Swansea City,26,27.2,45.3,38,418,3420,38.0,27,20,47,26,1,1,51,,31.6,30.8,20.2,51.0,596,1194
2017-2018,Tottenham,25,25.8,61.8,38,418,3420,38.0,70,51,121,68,2,3,52,,64.7,62.3,49.0,111.3,862,2249
2017-2018,Watford,29,27.9,49.7,38,418,3420,38.0,42,27,69,39,3,6,65,,45.0,40.2,29.2,69.4,647,1455
2017-2018,West Brom,24,29.1,40.7,38,418,3420,38.0,31,24,55,30,1,1,73,,36.5,35.7,25.9,61.6,507,1106
2017-2018,West Ham,27,28.0,45.2,38,418,3420,38.0,48,29,77,46,2,4,75,,36.7,33.6,24.9,58.4,523,1179
2018-2019,Arsenal,28,26.7,58.1,38,418,3420,38.0,69,52,121,65,4,5,74,2.0,60.1,56.0,46.7,102.7,868,1874
2018-2019,Bournemouth,28,26.6,46.9,38,418,3420,38.0,55,43,98,48,7,9,60,1.0,53.3,46.2,38.8,85.0,738,1435
2018-2019,Brighton,21,27.4,42.4,38,418,3420,38.0,35,24,59,30,5,6,62,4.0,35.3,30.7,24.5,55.2,475,1150
2018-2019,Burnley,23,28.0,41.2,38,418,3420,38.0,43,32,75,41,2,2,75,1.0,44.4,42.8,31.2,74.0,421,1032
2018-2019,Cardiff City,25,27.7,35.4,38,418,3420,38.0,33,20,53,30,3,4,66,1.0,42.4,39.2,27.6,66.8,434,918
2018-2019,Chelsea,24,27.3,62.9,38,418,3420,38.0,61,52,113,56,5,5,49,0.0,58.6,54.6,44.9,99.6,1058,2155
2018-2019,Crystal Palace,26,27.4,45.2,38,418,3420,38.0,48,33,81,38,10,11,59,2.0,47.6,39.2,29.5,68.7,771,1458
2018-2019,Everton,23,25.7,51.5,38,418,3420,38.0,53,34,87,51,2,5,57,4.0,49.7,45.7,33.7,79.4,697,1581
2018-2019,Fulham,28,26.0,48.8,38,418,3420,38.0,33,24,57,31,2,3,72,2.0,41.3,39.0,30.0,69.0,628,1487
2018-2019,Huddersfield,31,26.2,47.2,38,418,3420,38.0,21,13,34,20,1,1,57,4.0,28.8,28.0,19.9,47.9,601,1248
2018-2019,Leicester City,25,25.9,50.9,38,418,3420,38.0,48,34,82,43,5,7,63,5.0,52.4,47.3,37.6,84.9,752,1537
2018-2019,Liverpool,23,26.1,61.8,38,418,3420,38.0,86,55,141,79,7,7,41,2.0,73.7,68.4,49.8,118.2,857,2008
2018-2019,Manchester City,21,26.7,67.9,38,418,3420,38.0,91,71,162,88,3,4,44,1.0,84.3,81.3,65.5,146.7,1325,2429
2018-2019,Manchester Utd,28,26.3,54.7,38,418,3420,38.0,65,40,105,56,9,12,77,4.0,61.4,52.0,39.6,91.6,801,1668
2018-2019,Newcastle Utd,24,26.9,40.4,38,418,3420,38.0,41,33,74,40,1,3,57,2.0,39.1,36.7,27.4,64.1,467,985
2018-2019,Southampton,30,25.4,43.4,38,418,3420,38.0,44,27,71,40,4,5,75,3.0,46.9,43.4,29.3,72.7,603,1333
2018-2019,Tottenham,28,26.8,59.0,38,418,3420,38.0,66,47,113,62,4,4,58,3.0,54.9,51.8,39.1,90.9,840,1744
2018-2019,Watford,25,28.5,46.7,38,418,3420,38.0,51,39,90,50,1,1,80,4.0,48.2,47.5,34.8,82.3,588,1294
2018-2019,West Ham,26,27.6,48.6,38,418,3420,38.0,51,33,84,46,5,5,59,1.0,47.6,43.8,34.1,77.9,731,1478
2018-2019,Wolves,21,26.1,46.8,38,418,3420,38.0,46,35,81,42,4,4,73,1.0,52.1,49.0,39.4,88.4,743,1350
