Season,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,A_MP,A_W,A_D,A_L,A_GF,A_GA,A_GD,A_Pts,A_Pts/MP,A_xG,A_xGA,A_xGD,A_xGD/90,HomeWinRate,AwayWinRate,HomeGoalsPerMatch,AwayGoalsPerMatch,HomeGoalsConcededPerMatch,AwayGoalsConcededPerMatch,HomePointsPerMatch,AwayPointsPerMatch,TotalMP,TotalW,TotalD,TotalL,TotalGF,TotalGA,TotalGD,TotalPts,OverallWinRate,OverallGoalsPerMatch,OverallGoalsConcededPerMatch,OverallPointsPerMatch,HomeAwayWinRateDiff,HomeAwayGoalsScoredDiff,HomeAwayGoalsConcededDiff,HomeAwayPointsDiff,Poss,PrgC,PrgP,Sh,SoT,SoT%,Succ,Touches,Att 3rd,Att Pen,Live
2017-2018,1,Manchester City,19,16,2,1,61,14,47,50,2.63,43.5,10.7,32.7,1.72,19,16,2,1,45,13,32,50,2.63,35.2,13.1,22.1,1.16,0.8421052631578947,0.8421052631578947,3.210526315789474,2.3684210526315788,0.7368421052631579,0.6842105263157895,2.6315789473684212,2.6315789473684212,38,32,4,2,106,27,79,100,0.8421052631578947,2.789473684210526,0.7105263157894737,2.6315789473684212,0.0,0.8421052631578951,0.05263157894736836,0.0,71.0,1308,2570,656,254,38.7,503,33628,9719,1255,33620
2017-2018,2,Manchester Utd,19,15,2,2,38,9,29,47,2.47,31.9,15.1,16.8,0.88,19,10,4,5,30,19,11,34,1.79,23.8,25.6,-1.7,-0.09,0.7894736842105263,0.5263157894736842,2.0,1.5789473684210527,0.47368421052631576,1.0,2.473684210526316,1.7894736842105263,38,25,6,7,68,28,40,81,0.6578947368421053,1.7894736842105263,0.7368421052631579,2.1315789473684212,0.26315789473684215,0.42105263157894735,-0.5263157894736843,0.6842105263157896,54.7,920,1564,509,170,33.4,466,25907,7107,895,25904
2017-2018,3,Tottenham,19,13,4,2,40,16,24,43,2.26,34.4,15.0,19.4,1.02,19,10,4,5,34,20,14,34,1.79,30.3,18.9,11.4,0.6,0.6842105263157895,0.5263157894736842,2.1052631578947367,1.7894736842105263,0.8421052631578947,1.0526315789473684,2.263157894736842,1.7894736842105263,38,23,8,7,74,36,38,77,0.6052631578947368,1.9473684210526316,0.9473684210526315,2.026315789473684,0.1578947368421053,0.3157894736842104,-0.21052631578947367,0.4736842105263157,61.8,862,2249,620,209,33.7,436,27821,7466,949,27818
2017-2018,4,Liverpool,19,12,7,0,45,10,35,43,2.26,40.9,10.6,30.3,1.6,19,9,5,5,39,28,11,32,1.68,31.9,23.1,8.8,0.46,0.631578947368421,0.47368421052631576,2.3684210526315788,2.0526315789473686,0.5263157894736842,1.4736842105263157,2.263157894736842,1.6842105263157894,38,21,12,5,84,38,46,75,0.5526315789473685,2.210526315789474,1.0,1.9736842105263157,0.15789473684210525,0.3157894736842102,-0.9473684210526315,0.5789473684210527,60.3,982,2236,635,226,35.6,440,28759,7291,1064,28756
2017-2018,5,Chelsea,19,11,4,4,30,16,14,37,1.95,30.3,14.9,15.4,0.81,19,10,3,6,32,22,10,33,1.74,24.1,18.9,5.2,0.27,0.5789473684210527,0.5263157894736842,1.5789473684210527,1.6842105263157894,0.8421052631578947,1.1578947368421053,1.9473684210526316,1.736842105263158,38,21,7,10,62,38,24,70,0.5526315789473685,1.631578947368421,1.0,1.8421052631578947,0.052631578947368474,-0.10526315789473673,-0.3157894736842106,0.21052631578947367,55.6,1045,1998,603,210,34.8,513,27165,7334,988,27162
2017-2018,6,Arsenal,19,15,2,2,54,20,34,47,2.47,44.5,21.0,23.6,1.24,19,4,4,11,20,31,-11,16,0.84,23.7,26.8,-3.1,-0.16,0.7894736842105263,0.21052631578947367,2.8421052631578947,1.0526315789473684,1.0526315789473684,1.631578947368421,2.473684210526316,0.8421052631578947,38,19,6,13,74,51,23,63,0.5,1.9473684210526316,1.3421052631578947,1.6578947368421053,0.5789473684210527,1.7894736842105263,-0.5789473684210527,1.6315789473684212,61.4,915,2223,589,223,37.9,383,29146,8306,1104,29141
2017-2018,7,Burnley,19,7,5,7,16,17,-1,26,1.37,17.2,24.2,-7.0,-0.37,19,7,7,5,20,22,-2,28,1.47,15.1,27.0,-11.8,-0.62,0.3684210526315789,0.3684210526315789,0.8421052631578947,1.0526315789473684,0.8947368421052632,1.1578947368421053,1.368421052631579,1.4736842105263157,38,14,12,12,36,39,-3,54,0.3684210526315789,0.9473684210526315,1.0263157894736843,1.4210526315789473,0.0,-0.21052631578947367,-0.26315789473684215,-0.10526315789473673,43.7,431,1103,378,126,33.3,218,19452,4332,589,19452
2017-2018,8,Everton,19,10,4,5,28,22,6,34,1.79,21.3,22.9,-1.7,-0.09,19,3,6,10,16,36,-20,15,0.79,19.2,29.4,-10.2,-0.54,0.5263157894736842,0.15789473684210525,1.4736842105263157,0.8421052631578947,1.1578947368421053,1.894736842105263,1.7894736842105263,0.7894736842105263,38,13,10,15,44,58,-14,49,0.34210526315789475,1.1578947368421053,1.5263157894736843,1.2894736842105263,0.3684210526315789,0.631578947368421,-0.7368421052631577,1.0,45.5,477,1161,351,110,31.3,264,20994,4900,608,20986
2017-2018,9,Leicester City,19,7,6,6,25,22,3,27,1.42,26.9,19.4,7.5,0.39,19,5,5,9,31,38,-7,20,1.05,23.1,28.7,-5.6,-0.29,0.3684210526315789,0.2631578947368421,1.3157894736842106,1.631578947368421,1.1578947368421053,2.0,1.4210526315789473,1.0526315789473684,38,12,11,15,56,60,-4,47,0.3157894736842105,1.4736842105263157,1.5789473684210527,1.236842105263158,0.10526315789473684,-0.3157894736842104,-0.8421052631578947,0.368421052631579,48.0,655,1271,417,137,32.9,422,21322,4964,673,21316
2017-2018,10,Newcastle Utd,19,8,4,7,21,17,4,28,1.47,22.3,20.7,1.5,0.08,19,4,4,11,18,30,-12,16,0.84,19.4,31.7,-12.3,-0.65,0.42105263157894735,0.21052631578947367,1.105263157894737,0.9473684210526315,0.8947368421052632,1.5789473684210527,1.4736842105263157,0.8421052631578947,38,12,8,18,39,47,-8,44,0.3157894736842105,1.0263157894736843,1.236842105263158,1.1578947368421053,0.21052631578947367,0.15789473684210542,-0.6842105263157895,0.631578947368421,41.7,548,1145,450,146,32.4,304,20180,4531,601,20179
2017-2018,11,Crystal Palace,19,7,5,7,29,27,2,26,1.37,33.8,20.7,13.2,0.69,19,4,6,9,16,28,-12,18,0.95,19.7,27.6,-7.9,-0.42,0.3684210526315789,0.21052631578947367,1.5263157894736843,0.8421052631578947,1.4210526315789473,1.4736842105263157,1.368421052631579,0.9473684210526315,38,11,11,16,45,55,-10,44,0.2894736842105263,1.1842105263157894,1.4473684210526316,1.1578947368421053,0.15789473684210525,0.6842105263157896,-0.05263157894736836,0.42105263157894746,45.2,727,1308,466,134,28.8,479,20777,5293,811,20767
2017-2018,12,Bournemouth,19,7,5,7,26,30,-4,26,1.37,23.5,28.0,-4.5,-0.24,19,4,6,9,19,31,-12,18,0.95,15.2,31.2,-15.9,-0.84,0.3684210526315789,0.21052631578947367,1.368421052631579,1.0,1.5789473684210527,1.631578947368421,1.368421052631579,0.9473684210526315,38,11,11,16,45,61,-16,44,0.2894736842105263,1.1842105263157894,1.605263157894737,1.1578947368421053,0.15789473684210525,0.368421052631579,-0.05263157894736836,0.42105263157894746,48.1,702,1526,462,153,33.1,343,22240,5366,780,22237
2017-2018,13,West Ham,19,7,6,6,24,26,-2,27,1.42,18.2,21.4,-3.2,-0.17,19,3,6,10,24,42,-18,15,0.79,18.6,33.8,-15.2,-0.8,0.3684210526315789,0.15789473684210525,1.263157894736842,1.263157894736842,1.368421052631579,2.210526315789474,1.4210526315789473,0.7894736842105263,38,10,12,16,48,68,-20,42,0.2631578947368421,1.263157894736842,1.7894736842105263,1.105263157894737,0.21052631578947367,0.0,-0.8421052631578949,0.631578947368421,45.2,523,1179,368,127,34.5,423,20454,4647,591,20450
2017-2018,14,Watford,19,7,6,6,27,31,-4,27,1.42,22.7,25.7,-3.0,-0.16,19,4,2,13,17,33,-16,14,0.74,22.3,26.1,-3.8,-0.2,0.3684210526315789,0.21052631578947367,1.4210526315789473,0.8947368421052632,1.631578947368421,1.736842105263158,1.4210526315789473,0.7368421052631579,38,11,8,19,44,64,-20,41,0.2894736842105263,1.1578947368421053,1.6842105263157894,1.0789473684210527,0.15789473684210525,0.5263157894736842,-0.10526315789473695,0.6842105263157895,49.7,647,1455,434,126,29.0,332,21692,5377,783,21686
2017-2018,15,Brighton,19,7,8,4,24,25,-1,29,1.53,23.8,22.0,1.8,0.1,19,2,5,12,10,29,-19,11,0.58,13.2,28.8,-15.6,-0.82,0.3684210526315789,0.10526315789473684,1.263157894736842,0.5263157894736842,1.3157894736842106,1.5263157894736843,1.5263157894736843,0.5789473684210527,38,9,13,16,34,54,-20,40,0.23684210526315788,0.8947368421052632,1.4210526315789473,1.0526315789473684,0.2631578947368421,0.7368421052631579,-0.21052631578947367,0.9473684210526316,43.7,523,1230,377,110,29.2,299,20478,4463,594,20471
2017-2018,16,Huddersfield,19,6,5,8,16,25,-9,23,1.21,17.4,21.2,-3.8,-0.2,19,3,5,11,12,33,-21,14,0.74,13.9,27.3,-13.4,-0.7,0.3157894736842105,0.15789473684210525,0.8421052631578947,0.631578947368421,1.3157894736842106,1.736842105263158,1.2105263157894737,0.7368421052631579,38,9,10,19,28,58,-30,37,0.23684210526315788,0.7368421052631579,1.5263157894736843,0.9736842105263158,0.15789473684210525,0.21052631578947367,-0.42105263157894735,0.4736842105263158,45.7,627,1210,360,106,29.4,276,21340,5064,533,21338
2017-2018,17,Southampton,19,4,7,8,20,26,-6,19,1.0,23.4,18.0,5.4,0.28,19,3,8,8,17,30,-13,17,0.89,16.5,27.2,-10.7,-0.56,0.21052631578947367,0.15789473684210525,1.0526315789473684,0.8947368421052632,1.368421052631579,1.5789473684210527,1.0,0.8947368421052632,38,7,15,16,37,56,-19,36,0.18421052631578946,0.9736842105263158,1.4736842105263157,0.9473684210526315,0.05263157894736842,0.1578947368421052,-0.21052631578947367,0.10526315789473684,51.3,694,1609,447,136,30.4,379,23169,5644,700,23166
2017-2018,18,Swansea City,19,6,3,10,17,24,-7,21,1.11,21.0,25.5,-4.5,-0.23,19,2,6,11,11,32,-21,12,0.63,10.6,33.2,-22.6,-1.19,0.3157894736842105,0.10526315789473684,0.8947368421052632,0.5789473684210527,1.263157894736842,1.6842105263157894,1.105263157894737,0.631578947368421,38,8,9,21,28,56,-28,33,0.21052631578947367,0.7368421052631579,1.4736842105263157,0.868421052631579,0.21052631578947367,0.3157894736842105,-0.42105263157894735,0.47368421052631593,45.3,596,1194,338,95,28.1,318,21278,4554,536,21277
2017-2018,19,Stoke City,19,5,5,9,20,30,-10,20,1.05,20.0,29.3,-9.4,-0.49,19,2,7,10,15,38,-23,13,0.68,16.5,33.2,-16.7,-0.88,0.2631578947368421,0.10526315789473684,1.0526315789473684,0.7894736842105263,1.5789473684210527,2.0,1.0526315789473684,0.6842105263157895,38,7,12,19,35,68,-33,33,0.18421052631578946,0.9210526315789473,1.7894736842105263,0.868421052631579,0.15789473684210525,0.26315789473684204,-0.42105263157894735,0.36842105263157887,41.4,477,1150,380,122,32.1,325,18935,4268,596,18932
2017-2018,20,West Brom,19,3,9,7,21,29,-8,18,0.95,22.1,20.3,1.9,0.1,19,3,4,12,10,27,-17,13,0.68,14.3,27.7,-13.3,-0.7,0.15789473684210525,0.15789473684210525,1.105263157894737,0.5263157894736842,1.5263157894736843,1.4210526315789473,0.9473684210526315,0.6842105263157895,38,6,13,19,31,56,-25,31,0.15789473684210525,0.8157894736842105,1.4736842105263157,0.8157894736842105,0.0,0.5789473684210528,0.10526315789473695,0.26315789473684204,40.7,507,1106,377,111,29.4,321,19184,4468,586,19183
