Feature,Importance
Diff_TotalPts,43.0
Home_HomeAwayPointsDiff,28.0
Away_A_L,24.0
Away_HomeAwayPointsDiff,22.0
Diff_Succ,15.0
Home_L,15.0
Home_HomeAwayGoalsScoredDiff,14.0
Diff_Rk,12.0
Away_A_W,12.0
Diff_L,12.0
Diff_OverallPointsPerMatch,11.0
Diff_A_L,11.0
Diff_TotalL,11.0
Home_HomeAwayWinRateDiff,10.0
Home_HomeAwayGoalsConcededDiff,10.0
Away_A_GA,10.0
Diff_A_xGA,10.0
Diff_PrgP,10.0
Home_Pts,9.0
Diff_A_Pts,9.0
Away_Att Pen,9.0
Away_HomeAwayWinRateDiff,9.0
Diff_A_Pts/MP,9.0
Home_HomeWinRate,8.0
Diff_SoT,8.0
Diff_AwayPointsPerMatch,7.0
Home_GF,7.0
Home_W,7.0
Diff_TotalW,7.0
Diff_PrgC,7.0
Away_AwayGoalsConcededPerMatch,6.0
Diff_Sh,6.0
Diff_TotalGF,6.0
Diff_TotalGD,6.0
Diff_HomeAwayWinRateDiff,6.0
Home_xGA,6.0
Away_A_Pts,5.0
Home_GD,5.0
Diff_Pts,5.0
Diff_HomeWinRate,5.0
Diff_Poss,5.0
Away_AwayWinRate,5.0
Home_TotalW,5.0
Diff_A_GD,5.0
Diff_A_GA,5.0
Diff_A_xG,4.0
Diff_xGA,4.0
Diff_Pts/MP,4.0
Away_HomeAwayGoalsScoredDiff,4.0
Diff_W,4.0
Away_GF,4.0
Home_PrgC,4.0
Away_TotalL,4.0
Away_A_GF,4.0
Away_A_Pts/MP,4.0
Home_A_xGD,4.0
Home_Pts/MP,4.0
Diff_A_xGD,4.0
Diff_A_GF,4.0
Diff_OverallGoalsPerMatch,4.0
Diff_AwayWinRate,4.0
Diff_Att Pen,4.0
Diff_HomeAwayGoalsConcededDiff,4.0
Diff_A_xGD/90,4.0
Home_TotalL,3.0
Home_A_GA,3.0
Away_A_xGA,3.0
Away_A_xGD,3.0
Home_A_xGD/90,3.0
Home_HomePointsPerMatch,3.0
Diff_OverallGoalsConcededPerMatch,3.0
Away_SoT%,3.0
Diff_xGD/90,3.0
Diff_A_W,3.0
Diff_GD,3.0
Diff_GA,3.0
Diff_HomeGoalsPerMatch,3.0
Diff_Live,3.0
Away_PrgC,2.0
Diff_HomeAwayPointsDiff,2.0
Diff_SoT%,2.0
Diff_OverallWinRate,2.0
Diff_HomeAwayGoalsScoredDiff,2.0
Diff_Att 3rd,2.0
Home_Poss,2.0
Home_TotalGA,2.0
Home_TotalGF,2.0
Home_PrgP,2.0
Home_SoT,2.0
Home_SoT%,2.0
Home_A_GD,2.0
Home_OverallWinRate,2.0
Away_A_GD,2.0
Away_AwayGoalsPerMatch,2.0
Away_TotalGA,2.0
Away_Sh,2.0
Diff_Touches,2.0
Diff_TotalGA,2.0
Away_OverallGoalsPerMatch,1.0
Away_HomeGoalsConcededPerMatch,1.0
Away_TotalPts,1.0
Away_TotalGD,1.0
Away_TotalGF,1.0
Away_L,1.0
Away_Rk,1.0
Home_Att Pen,1.0
Home_Succ,1.0
Away_xGD,1.0
Home_HomeGoalsPerMatch,1.0
Home_OverallPointsPerMatch,1.0
Home_OverallGoalsPerMatch,1.0
Home_A_xGA,1.0
Home_A_xG,1.0
Home_xGD,1.0
Home_AwayGoalsConcededPerMatch,1.0
Home_TotalGD,1.0
Away_A_xG,1.0
Away_GA,1.0
Away_GD,1.0
Diff_xG,1.0
Away_Poss,1.0
Away_Att 3rd,1.0
Away_HomeAwayGoalsConcededDiff,1.0
Away_SoT,1.0
Diff_GF,1.0
Diff_AwayGoalsConcededPerMatch,1.0
Diff_AwayGoalsPerMatch,1.0
